MS_system,Package,Class,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,TLOC,WMC,AHF,AIF,LCOM*,NMIR,PF
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,LTExec,6.0,6.0,0.0,0.0,0.0,0.0,2.333333333,9.333333333,1.0,2.0,0.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.0,0.0,58.0,0.0,45.0,7.0,0.0,0.0,0.722222222,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,LTACus,2.0,2.0,0.0,0.0,0.0,0.0,1.666666667,5.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,21.0,0.0,14.0,3.0,0.0,0.0,0.25,,
train-ticket-0.0.1,org.myproject.ms.monitoring,NOItemAdjuster,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,5.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring,NOItemReporter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,4.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring,Sampler,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,3.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring,StateItemAdjuster,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0,6.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,DefaultSpanCreator,2.0,2.0,0.0,0.0,0.0,0.0,3.222222222,9.666666667,2.0,2.0,0.0,0.333333333,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.333333333,1.0,0.0,29.0,0.666666667,21.0,6.0,0.0,0.0,0.75,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,NoOpTagValueResolver,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,5.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig,4.0,4.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,4.0,0.0,0.666666667,0.0,12.0,12.0,0.0,0.0,0.0,4.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.666666667,8.0,0.0,158.0,0.0,79.0,13.0,0.0,0.0,0.909090909,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodFilter,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,15.0,0.0,10.0,3.0,0.0,0.0,0.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,0.0,0.75,0.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.75,3.0,0.0,54.0,0.0,22.0,12.0,0.0,0.0,0.333333333,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAdvisorConfig.AnnotationMethodsResolver,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,27.0,0.0,11.0,4.0,0.0,0.0,0.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAnnotatedParameter,3.0,3.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.0,1.0,1.0,0.0,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAnnotationAutoConfiguration,0.0,0.0,0.0,0.0,0.0,0.0,1.25,5.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,14.0,4.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAnnotationProperties,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,9.0,2.0,0.0,0.0,0.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,SleuthAnnotationUtils,1.0,1.0,0.0,0.0,0.0,0.0,2.75,11.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,45.0,0.0,36.0,8.0,0.0,0.0,1.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,SWProp.Async,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,9.0,2.0,0.0,0.0,0.0,,
