MS_system,Microservice,Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_TAC,Taylor_FOM,Taylor_FOM_NORM
train-ticket-0.1.0,ts-execute-service,3.986977865857994e-19,0.017447780525062864,2.153247792339996e-17,0.0,3.0975719556971164e-19,0.015627411627052522,1.8974085224712527e-17,0.0,8.673617379884035e-19,0.19820076872717265,0.16025704262063598
train-ticket-0.1.0,ts-food-delivery-service,4.508143246851604e-20,0.0,0.0,0.0,3.502476954611276e-20,0.0,0.0,0.0,0.0,0.0,0.0
train-ticket-0.1.0,ts-food-map-service,3.269627104779885e-19,2.687270133064723e-20,0.0,0.0,2.540246162910115e-19,2.4069007781340902e-20,0.0,0.0,-0.035408602116854586,0.06312192382034901,0.051037808283673804
train-ticket-0.1.0,ts-food-service,0.05542873683011342,0.02725909051815009,0.034708610170310836,0.015699062048052582,0.04306382089927322,0.02441508405578027,0.030584688383082995,0.04647371806293827,-0.1375747595967983,0.3903461136976341,0.3156179170311421
train-ticket-0.1.0,ts-inside-payment-service,3.4492543553709164e-20,0.021896782753674238,1.2027251766460624e-22,0.0,2.6798025769736326e-20,0.019612238754853264,1.0598227516950108e-22,0.0,-0.02461214389218847,0.09495493782451066,0.0767766826319893
train-ticket-0.1.0,ts-login-service,1.1679540915511682e-21,0.0,0.0,0.0,9.074095621426404e-22,0.0,0.0,0.0,0.0,0.09330595054194063,0.0754433788969898
train-ticket-0.1.0,ts-notification-service,2.5885361789376663e-21,8.581366711098331e-19,0.0,0.0,2.0110914441856785e-21,7.686052086933638e-19,0.0,0.0,-0.12846139383447214,0.020356835016527124,0.016459704963886896
train-ticket-0.1.0,ts-order-other-service,5.61960831251169e-22,0.10027626762954878,9.044274475480724e-24,0.0,4.365998933654127e-22,0.08981420349828678,7.96967424297105e-24,0.0,-0.29609125825543253,0.07630534686172184,0.06169738544775325
train-ticket-0.1.0,ts-order-service,1.4304542225262807e-22,0.21628348198289707,8.592848674531641e-25,0.0,1.111351763838397e-22,0.1937181062212354,7.57188483618226e-25,0.0,-0.3220859438432756,0.20471402211783893,0.16552339316473408
train-ticket-0.1.0,ts-payment-service,7.659377912037007e-23,1.22657090385786e-21,0.0,0.0,5.950741392768196e-23,1.0985998119828815e-21,0.0,0.0,0.0,0.08755113030193887,0.07079026640707026
train-ticket-0.1.0,ts-preserve-other-service,0.17266779862873735,0.031341164764835484,0.21441998046196825,0.049001801745391635,0.13414946073928966,0.02807126568034327,0.18894355761745882,0.14505936163070446,-0.2462134234933336,0.06692355843384531,0.05411165468798212
train-ticket-0.1.0,ts-preserve-service,0.1726677986287373,0.03957483085676031,0.21441998046196767,0.04900180174539165,0.1341494607392896,0.03544589358980057,0.18894355761745832,0.1450593616307045,-0.25290386207254895,0.06767350346836366,0.054718029598290245
train-ticket-0.1.0,ts-price-service,5.682046157612636e-23,2.65385312374641e-23,0.0,0.0,4.414508286970346e-23,2.3769702457542163e-23,0.0,0.0,-0.005075309637195389,0.19384336564478677,0.1567338245424537
train-ticket-0.1.0,ts-rebook-service,0.1330020649469509,0.03794561037334497,0.10475058264297778,0.009702698285265347,0.10333226827202943,0.03398665359712733,0.09230458702786963,0.02872276465810335,-0.0955827663785074,0.20202549140730827,0.1633495570921935
train-ticket-0.1.0,ts-register-service,1.1743723229571798e-20,0.0,0.0,0.0,9.123960291553327e-21,0.0,0.0,0.0,-0.0005278836593254336,0.023415978296789694,0.0189332032161692
