MS_system,Version Id,Microservice,Avg(Cognitive complexity),Cognitive complexity,Max(NBD),Max(SIX),Max(VG),Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_TAC,Taylor_FOM,Taylor_FOM_NORM
train-ticket-0.0.4,4,ts-notification-service,1.6,8,2.0,2.0,1.0,7.51335919483786e-21,5.1739870881308306e-18,0.0,0.0,5.1500085034734824e-21,3.95785711468311e-18,0.0,0.0,-0.128125932063699,0.0651241671600321,0.0711998780846588
train-ticket-0.0.4,4,ts-order-other-service,30.857142857142858,216,10.0,1.8,18.0,1.6311206798045308e-21,0.1167496951122481,1.5106430563492934e-22,0.0,1.118046555920858e-21,0.0893080333534475,1.07541106102009e-22,0.0,-0.2971945017321646,0.1275148970926371,0.1394113049409645
train-ticket-0.0.4,4,ts-order-service,31.142857142857142,218,10.0,1.8,18.0,4.151961769120746e-22,0.2477527323448708,1.253136453407916e-23,0.0,2.845949177001924e-22,0.1895192039892722,8.920947918822966e-24,0.0,-0.3227855370095946,0.1101941887250423,0.1204746739191472
train-ticket-0.0.4,4,ts-payment-service,2.0,14,2.0,2.0,3.0,2.2231737740578404e-22,2.218619329376205e-20,0.0,0.0,1.5238674931132711e-22,1.6971395846133284e-20,0.0,0.0,1.6543612251060552e-24,0.0609223850435564,0.0666060938187316
train-ticket-0.0.4,4,ts-preserve-other-service,25.6,128,4.0,0.166666667,18.0,0.195422356597636,0.0370284989027378,0.2657566386744148,0.0408343512471961,0.1339516416223159,0.0283250625353185,0.1891893836659601,0.1336340034425484,-0.2458319725371615,0.0681191579296195,0.0744742842991029
train-ticket-0.0.4,4,ts-preserve-service,25.6,128,4.0,0.166666667,18.0,0.195422356597636,0.0463565302319492,0.2657566386744161,0.0408343512471961,0.1339516416223159,0.035460568390561,0.189189383665961,0.1336340034425484,-0.2524128244937397,0.0884940409868413,0.0967500269753745
train-ticket-0.0.4,4,ts-price-service,4.0,28,3.0,2.0,4.0,1.649243077657597e-22,2.377864089411262e-22,0.0,0.0,1.130468496710105e-22,1.8189543467580952e-22,0.0,0.0,-0.0083971975053866,0.0218660363562232,0.0239060120175062
train-ticket-0.0.4,4,ts-rebook-service,37.2,186,9.0,0.285714286,18.0,0.1513148149994521,0.0444152361629267,0.129561513543192,0.0321530838421326,0.103718265524175,0.0339755696049245,0.0922334923271486,0.1052237928511999,-0.1002020317975677,0.2625742681567795,0.2870709399628966
train-ticket-0.0.4,4,ts-route-plan-service,16.4,82,4.0,0.75,9.0,0.1252536622139279,0.0300728938983261,0.0965984538493182,0.0261647935825949,0.0858547300568457,0.023004351392303,0.0687674333856505,0.0856265866579707,-0.0489996934658836,0.0816078870539707,0.0892214344132959
train-ticket-0.0.4,4,ts-route-service,5.714285714285714,40,3.0,2.0,6.0,7.266089093132673e-25,5.567438810992254e-20,0.0,0.0,4.980517987525383e-25,4.258829203342492e-20,0.0,0.0,-0.1713650677789812,0.0898831306120128,0.0982687106879483
train-ticket-0.0.4,4,ts-seat-service,13.2,66,3.0,1.0,8.0,0.1245834171835079,0.0620574535332313,0.1073309811173106,0.0261647935825949,0.0853953127021629,0.0474710372874833,0.076407807786597,0.0856265866579708,-0.4066892069021093,0.0734389864412424,0.0802904222702507
